 hotel ; restaurant ; chef ; hote 
Abbaye de la Bussière ; https://www.relaischateaux.com/fr/france/bussiere-cote-d-or-la-bussiere-sur-ouche ; https://www.relaischateaux.com/fr/chef/guillaume-royer ; https://www.relaischateaux.com/fr/maitre-maison/clive-tanith-cummings;  
Anne de Bretagne ; https://www.relaischateaux.com/fr/france/annedebretagne-loire-atlantique-la-plaine-sur-mer ; https://www.relaischateaux.com/fr/chef/mathieu-guibert ; https://www.relaischateaux.com/fr/maitre-maison/clive-tanith-cummings;  
Assiette Champenoise ; https://www.relaischateaux.com/fr/france/assiette-champenoise-champagne-ardenne-tinqueux ; https://www.relaischateaux.com/fr/chef/arnaud-lallement ; https://www.relaischateaux.com/fr/maitre-maison/melanie-lallement;  
Au Crocodile ; https://www.relaischateaux.com/fr/france/crocodile-bas-rhin ; https://www.relaischateaux.com/fr/chef/franck-pelux ; https://www.relaischateaux.com/fr/maitre-maison/cedric-moulot;  
Au Cœur du Village Hôtel & Spa ; https://www.relaischateaux.com/fr/france/coeurduvillage-rhone-alpes-la-clusaz ; https://www.relaischateaux.com/fr/chef/cedric-heurtebise-vincent-deforce ; https://www.relaischateaux.com/fr/maitre-maison/celine-lecamus-locatelli;  
Auberge de l’Île Barbe ; https://www.relaischateaux.com/fr/france/aubergedelile-rhone-lyon ; https://www.relaischateaux.com/fr/chef/jean-christophe-ansanay-alex ; https://www.relaischateaux.com/fr/maitre-maison/celine-lecamus-locatelli;  
Auberge des Glazicks ; https://www.relaischateaux.com/fr/france/auberge-des-glazicks-plomodiern ; https://www.relaischateaux.com/fr/chef/olivier-bellin ; https://www.relaischateaux.com/fr/maitre-maison/celine-lecamus-locatelli;  
Auberge des Templiers ; https://www.relaischateaux.com/fr/france/templiers-loiret-boismorand ; https://www.relaischateaux.com/fr/chef/martin-simonart ; https://www.relaischateaux.com/fr/maitre-maison/guillaume-depee;  
Auberge du Jeu de Paume ; https://www.relaischateaux.com/fr/france/jeudepaume-oise-chantilly ; https://www.relaischateaux.com/fr/chef/julien-lucas ; https://www.relaischateaux.com/fr/maitre-maison/pascal-groell;  
Baumanière Hôtel & Spa ; https://www.relaischateaux.com/fr/france/baumaniere-hotel-spa-les-baux-de-provence ; https://www.relaischateaux.com/fr/chef/glenn-viel ; https://www.relaischateaux.com/fr/maitre-maison/genevieve-jean-andre-charial;  
Brittany & Spa ; https://www.relaischateaux.com/fr/france/brittany-finistere-roscoff ; https://www.relaischateaux.com/fr/chef/loic-le-bail ; https://www.relaischateaux.com/fr/maitre-maison/jerome-marc;  
Cap d’Antibes Beach Hotel ; https://www.relaischateaux.com/fr/france/antibes-alpes-maritimes-cap-d-antibes ; https://www.relaischateaux.com/fr/chef/nicolas-rondelli ; https://www.relaischateaux.com/fr/maitre-maison/franck-farneti;  
Castel Clara Thalasso & Spa ; https://www.relaischateaux.com/fr/france/castelclara-morbihan-bangor ; https://www.relaischateaux.com/fr/chef/franck-moisan ; https://www.relaischateaux.com/fr/maitre-maison/christophe-hardouin;  
Cazaudehore « La Forestière » ; https://www.relaischateaux.com/fr/france/cazaudehore-yvelines-saint-germain-en-laye ; https://www.relaischateaux.com/fr/chef/gregory-balland ; https://www.relaischateaux.com/fr/maitre-maison/isabelle-philippe-cazaudehore;  
Château Cordeillan-Bages ; https://www.relaischateaux.com/fr/france/cordeillan-gironde-pauillac ; https://www.relaischateaux.com/fr/chef/julien-lefebvre ; https://www.relaischateaux.com/fr/maitre-maison/yann-potet;  
